actuator_unsteady 200 80 1.000e+02
residual and conservation information
n            dt               t                res              maxdiv           umom             vmom             k
66           6.28318531e-02   4.08407045e+00   6.26869370e-04   2.89004931e-15   3.76126563e+01   5.63274379e+00   1.89726147e+01 
67           6.28318531e-02   4.14690230e+00   6.30215953e-04   2.89698820e-15   3.75939893e+01   5.73342813e+00   1.89771876e+01 
68           6.28318531e-02   4.20973416e+00   6.34209696e-04   2.92474378e-15   3.75767632e+01   5.83195952e+00   1.89821533e+01 
69           6.28318531e-02   4.27256601e+00   6.38471551e-04   2.98025493e-15   3.75609499e+01   5.92821988e+00   1.89874546e+01 
70           6.28318531e-02   4.33539786e+00   6.42473768e-04   3.04270498e-15   3.75465161e+01   6.02209277e+00   1.89930324e+01 
71           6.28318531e-02   4.39822972e+00   6.46191709e-04   3.14331894e-15   3.75334227e+01   6.11346363e+00   1.89988257e+01 
72           6.28318531e-02   4.46106157e+00   6.49606937e-04   3.25087179e-15   3.75216252e+01   6.20222005e+00   1.90047722e+01 
73           6.28318531e-02   4.52389342e+00   6.52921044e-04   3.33066907e-15   3.75110737e+01   6.28825195e+00   1.90108079e+01 
74           6.28318531e-02   4.58672527e+00   6.57287102e-04   3.35495520e-15   3.75017132e+01   6.37145188e+00   1.90168673e+01 
75           6.28318531e-02   4.64955713e+00   6.61327225e-04   3.34107741e-15   3.74934832e+01   6.45171523e+00   1.90228838e+01 
76           6.28318531e-02   4.71238898e+00   6.65022768e-04   3.37924133e-15   3.74863181e+01   6.52894050e+00   1.90287899e+01 
77           6.28318531e-02   4.77522083e+00   6.68360911e-04   3.46597751e-15   3.74801475e+01   6.60302951e+00   1.90345171e+01 
78           6.28318531e-02   4.83805269e+00   6.71334112e-04   3.48679419e-15   3.74748960e+01   6.67388766e+00   1.90399961e+01 
79           6.28318531e-02   4.90088454e+00   6.75589139e-04   3.50414142e-15   3.74704837e+01   6.74142419e+00   1.90451573e+01 
80           6.28318531e-02   4.96371639e+00   6.79503087e-04   3.54230534e-15   3.74668265e+01   6.80555235e+00   1.90499308e+01 
81           6.28318531e-02   5.02654825e+00   6.83018291e-04   3.59434704e-15   3.74638360e+01   6.86618967e+00   1.90542468e+01 
82           6.28318531e-02   5.08938010e+00   6.86127409e-04   3.67067488e-15   3.74614201e+01   6.92325817e+00   1.90580357e+01 
83           6.28318531e-02   5.15221195e+00   6.88985639e-04   3.72965547e-15   3.74594831e+01   6.97668457e+00   1.90612287e+01 
84           6.28318531e-02   5.21504380e+00   6.93041450e-04   3.80251386e-15   3.74579263e+01   7.02640047e+00   1.90637576e+01 
85           6.28318531e-02   5.27787566e+00   6.96657364e-04   3.86149446e-15   3.74566483e+01   7.07234256e+00   1.90655557e+01 
86           6.28318531e-02   5.34070751e+00   6.99826251e-04   3.95516953e-15   3.74555451e+01   7.11445278e+00   1.90665576e+01 
87           6.28318531e-02   5.40353936e+00   7.02545039e-04   3.97945565e-15   3.74545110e+01   7.15267848e+00   1.90667000e+01 
88           6.28318531e-02   5.46637122e+00   7.05629576e-04   4.01761957e-15   3.74534387e+01   7.18697256e+00   1.90659218e+01 
89           6.28318531e-02   5.52920307e+00   7.09255141e-04   4.08700851e-15   3.74522203e+01   7.21729363e+00   1.90641645e+01 
90           6.28318531e-02   5.59203492e+00   7.12392252e-04   4.08700851e-15   3.74507469e+01   7.24360607e+00   1.90613725e+01 
91           6.28318531e-02   5.65486678e+00   7.15037251e-04   4.16333634e-15   3.74489100e+01   7.26588015e+00   1.90574939e+01 
92           6.28318531e-02   5.71769863e+00   7.17231996e-04   4.20496971e-15   3.74466018e+01   7.28409209e+00   1.90524802e+01 
93           6.28318531e-02   5.78053048e+00   7.20762461e-04   4.27435864e-15   3.74437154e+01   7.29822411e+00   1.90462873e+01 
94           6.28318531e-02   5.84336234e+00   7.23761858e-04   4.35068648e-15   3.74401460e+01   7.30826447e+00   1.90388756e+01 
95           6.28318531e-02   5.90619419e+00   7.26225464e-04   4.41313652e-15   3.74357911e+01   7.31420746e+00   1.90302103e+01 
96           6.28318531e-02   5.96902604e+00   7.28284605e-04   4.46864767e-15   3.74305512e+01   7.31605340e+00   1.90202620e+01 
97           6.28318531e-02   6.03185789e+00   7.31092412e-04   4.48599491e-15   3.74243307e+01   7.31380859e+00   1.90090072e+01 
98           6.28318531e-02   6.09468975e+00   7.33835673e-04   4.54150606e-15   3.74170382e+01   7.30748528e+00   1.89964283e+01 
99           6.28318531e-02   6.15752160e+00   7.35997333e-04   4.55538385e-15   3.74085875e+01   7.29710157e+00   1.89825142e+01 
100          6.28318531e-02   6.22035345e+00   7.37950964e-04   4.60395611e-15   3.73988982e+01   7.28268132e+00   1.89672609e+01 
101          6.28318531e-02   6.28318531e+00   7.43656027e-04   4.65252836e-15   3.73878960e+01   7.26425404e+00   1.89506713e+01 
102          6.28318531e-02   6.34601716e+00   7.52322818e-04   4.69763117e-15   3.73755142e+01   7.24185479e+00   1.89327563e+01 
103          6.28318531e-02   6.40884901e+00   7.60387913e-04   4.72538675e-15   3.73616935e+01   7.21552399e+00   1.89135342e+01 
104          6.28318531e-02   6.47168087e+00   7.67867724e-04   4.80171458e-15   3.73463830e+01   7.18530730e+00   1.88930319e+01 
105          6.28318531e-02   6.53451272e+00   7.74843694e-04   4.85722573e-15   3.73295407e+01   7.15125543e+00   1.88712844e+01 
106          6.28318531e-02   6.59734457e+00   7.81335181e-04   4.86242990e-15   3.73111339e+01   7.11342398e+00   1.88483350e+01 
107          6.28318531e-02   6.66017643e+00   7.87228708e-04   4.90406327e-15   3.72911397e+01   7.07187320e+00   1.88242358e+01 
108          6.28318531e-02   6.72300828e+00   7.92530438e-04   4.94916608e-15   3.72695451e+01   7.02666786e+00   1.87990471e+01 
109          6.28318531e-02   6.78584013e+00   7.97255661e-04   5.01161612e-15   3.72463471e+01   6.97787696e+00   1.87728373e+01 
110          6.28318531e-02   6.84867198e+00   8.01415680e-04   5.04978004e-15   3.72215531e+01   6.92557354e+00   1.87456827e+01 
111          6.28318531e-02   6.91150384e+00   8.05027114e-04   5.10008702e-15   3.71951803e+01   6.86983443e+00   1.87176668e+01 
112          6.28318531e-02   6.97433569e+00   8.08105873e-04   5.12957732e-15   3.71672555e+01   6.81074003e+00   1.86888799e+01 
113          6.28318531e-02   7.03716754e+00   8.10676091e-04   5.20243570e-15   3.71378151e+01   6.74837399e+00   1.86594181e+01 
114          6.28318531e-02   7.09999940e+00   8.12770489e-04   5.25968158e-15   3.71069041e+01   6.68282297e+00   1.86293828e+01 
115          6.28318531e-02   7.16283125e+00   8.14373440e-04   5.30304967e-15   3.70745758e+01   6.61417636e+00   1.85988794e+01 
116          6.28318531e-02   7.22566310e+00   8.15508686e-04   5.33080524e-15   3.70408909e+01   6.54252597e+00   1.85680162e+01 
117          6.28318531e-02   7.28849496e+00   8.16203725e-04   5.38458167e-15   3.70059169e+01   6.46796570e+00   1.85369040e+01 
118          6.28318531e-02   7.35132681e+00   8.16520564e-04   5.42794976e-15   3.69697271e+01   6.39059131e+00   1.85056543e+01 
119          6.28318531e-02   7.41415866e+00   8.16460540e-04   5.47218520e-15   3.69323998e+01   6.31050006e+00   1.84743785e+01 
120          6.28318531e-02   7.47699052e+00   8.16049865e-04   5.51642065e-15   3.68940179e+01   6.22779049e+00   1.84431871e+01 
121          6.28318531e-02   7.53982237e+00   8.15315268e-04   5.55371721e-15   3.68546672e+01   6.14256217e+00   1.84121887e+01 
122          6.28318531e-02   7.60265422e+00   8.14283758e-04   5.58754432e-15   3.68144365e+01   6.05491551e+00   1.83814890e+01 
123          6.28318531e-02   7.66548607e+00   8.12982456e-04   5.63871866e-15   3.67734164e+01   5.96495168e+00   1.83511900e+01 
124          6.28318531e-02   7.72831793e+00   8.11438378e-04   5.67601521e-15   3.67316990e+01   5.87277252e+00   1.83213898e+01 
125          6.28318531e-02   7.79114978e+00   8.09678255e-04   5.71678122e-15   3.66893767e+01   5.77848056e+00   1.82921815e+01 
126          6.28318531e-02   7.85398163e+00   8.07843712e-04   5.76838924e-15   3.66465424e+01   5.68217911e+00   1.82636530e+01 
127          6.28318531e-02   7.91681349e+00   8.05870246e-04   5.79484377e-15   3.66032881e+01   5.58397233e+00   1.82358867e+01 
128          6.28318531e-02   7.97964534e+00   8.03761018e-04   5.82650247e-15   3.65597055e+01   5.48396534e+00   1.82089589e+01 
129          6.28318531e-02   8.04247719e+00   8.01538803e-04   5.87854418e-15   3.65158848e+01   5.38226430e+00   1.81829399e+01 
130          6.28318531e-02   8.10530905e+00   7.99283129e-04   5.92542237e-15   3.64719147e+01   5.27897637e+00   1.81578935e+01 
131          6.28318531e-02   8.16814090e+00   7.97057524e-04   5.95053520e-15   3.64278821e+01   5.17420963e+00   1.81338774e+01 
132          6.28318531e-02   8.23097275e+00   7.94779952e-04   5.97959182e-15   3.63838719e+01   5.06807283e+00   1.81109428e+01 
133          6.28318531e-02   8.29380461e+00   7.92467965e-04   6.01125053e-15   3.63399669e+01   4.96067498e+00   1.80891344e+01 
134          6.28318531e-02   8.35663646e+00   7.90217883e-04   6.04507763e-15   3.62962479e+01   4.85212483e+00   1.80684912e+01 
135          6.28318531e-02   8.41946831e+00   7.88043852e-04   6.07283321e-15   3.62527933e+01   4.74253021e+00   1.80490461e+01 
136          6.28318531e-02   8.48230016e+00   7.85877393e-04   6.09321621e-15   3.62096798e+01   4.63199730e+00   1.80308266e+01 
137          6.28318531e-02   8.54513202e+00   7.83731367e-04   6.12010442e-15   3.61669819e+01   4.52062989e+00   1.80138550e+01 
138          6.28318531e-02   8.60796387e+00   7.81732506e-04   6.16867668e-15   3.61247729e+01   4.40852859e+00   1.79981493e+01 
139          6.28318531e-02   8.67079572e+00   7.79809932e-04   6.17735030e-15   3.60831245e+01   4.29579024e+00   1.79837234e+01 
140          6.28318531e-02   8.73362758e+00   7.77935024e-04   6.20944268e-15   3.60421076e+01   4.18250728e+00   1.79705880e+01 
141          6.28318531e-02   8.79645943e+00   7.76116950e-04   6.24500451e-15   3.60017921e+01   4.06876737e+00   1.79587508e+01 
142          6.28318531e-02   8.85929128e+00   7.74488472e-04   6.28663788e-15   3.59622476e+01   3.95465306e+00   1.79482176e+01 
143          6.28318531e-02   8.92212314e+00   7.72939946e-04   6.33694486e-15   3.59235432e+01   3.84024162e+00   1.79389924e+01 
144          6.28318531e-02   8.98495499e+00   7.71464333e-04   6.36296571e-15   3.58857477e+01   3.72560490e+00   1.79310776e+01 
145          6.28318531e-02   9.04778684e+00   7.70067716e-04   6.40633380e-15   3.58489295e+01   3.61080925e+00   1.79244750e+01 
146          6.28318531e-02   9.11061870e+00   7.68844309e-04   6.45664078e-15   3.58131567e+01   3.49591545e+00   1.79191852e+01 
147          6.28318531e-02   9.17345055e+00   7.67733848e-04   6.49133525e-15   3.57784965e+01   3.38097861e+00   1.79152081e+01 
148          6.28318531e-02   9.23628240e+00   7.66709245e-04   6.53470333e-15   3.57450155e+01   3.26604809e+00   1.79125426e+01 
