shear_layer 200 200 1.000e+100
residual and conservation information
n            dt               t                res              maxdiv           umom             vmom             k
73           1.00000000e-02   7.20000000e-01   2.10300704e-04   4.55798593e-16   3.94784176e+01  -1.71439469e-17   3.68711987e+01 
74           1.00000000e-02   7.30000000e-01   2.11700977e-04   4.61002764e-16   3.94784176e+01  -3.17400186e-17   3.68711987e+01 
75           1.00000000e-02   7.40000000e-01   2.13088087e-04   4.65014312e-16   3.94784176e+01  -3.59684071e-17   3.68711987e+01 
76           1.00000000e-02   7.50000000e-01   2.14521325e-04   4.74230030e-16   3.94784176e+01  -1.20922424e-17   3.68711987e+01 
77           1.00000000e-02   7.60000000e-01   2.15933845e-04   4.81385765e-16   3.94784176e+01  -4.36730188e-17   3.68711987e+01 
78           1.00000000e-02   7.70000000e-01   2.17486973e-04   4.89842542e-16   3.94784176e+01  -3.48367711e-17   3.68711987e+01 
79           1.00000000e-02   7.80000000e-01   2.19085425e-04   4.92444627e-16   3.94784176e+01  -5.64123943e-18   3.68711987e+01 
80           1.00000000e-02   7.90000000e-01   2.20705488e-04   4.98624579e-16   3.94784176e+01   1.03033088e-17   3.68711987e+01 
81           1.00000000e-02   8.00000000e-01   2.22338333e-04   5.02961388e-16   3.94784176e+01  -5.80386975e-18   3.68711987e+01 
82           1.00000000e-02   8.10000000e-01   2.23984351e-04   5.10225542e-16   3.94784176e+01  -2.65832820e-17   3.68711987e+01 
83           1.00000000e-02   8.20000000e-01   2.25652287e-04   5.13803410e-16   3.94784176e+01  -5.01443505e-18   3.68711987e+01 
84           1.00000000e-02   8.30000000e-01   2.27323012e-04   5.21392825e-16   3.94784176e+01  -6.74238226e-18   3.68711987e+01 
85           1.00000000e-02   8.40000000e-01   2.29026753e-04   5.29524341e-16   3.94784176e+01   8.26704157e-19   3.68711987e+01 
86           1.00000000e-02   8.50000000e-01   2.30720911e-04   5.29958022e-16   3.94784176e+01  -1.18584613e-17   3.68711987e+01 
87           1.00000000e-02   8.60000000e-01   2.32461184e-04   5.42534767e-16   3.94784176e+01  -2.90091844e-17   3.68711987e+01 
88           1.00000000e-02   8.70000000e-01   2.34177472e-04   5.50124182e-16   3.94784176e+01  -3.10827210e-17   3.68711987e+01 
89           1.00000000e-02   8.80000000e-01   2.35955020e-04   5.54460991e-16   3.94784176e+01  -4.63293141e-17   3.68711987e+01 
90           1.00000000e-02   8.90000000e-01   2.37692682e-04   5.53810470e-16   3.94784176e+01  -3.35425047e-17   3.68711987e+01 
91           1.00000000e-02   9.00000000e-01   2.39507686e-04   5.65519853e-16   3.94784176e+01  -5.66495635e-18   3.68711987e+01 
92           1.00000000e-02   9.10000000e-01   2.41283173e-04   5.76145034e-16   3.94784176e+01  -3.02898982e-17   3.68711987e+01 
93           1.00000000e-02   9.20000000e-01   2.43118597e-04   5.83083928e-16   3.94784176e+01  -4.43303163e-17   3.68711987e+01 
94           1.00000000e-02   9.30000000e-01   2.44932673e-04   5.82433407e-16   3.94784176e+01  -2.86568187e-17   3.68711987e+01 
95           1.00000000e-02   9.40000000e-01   2.46787153e-04   5.97829078e-16   3.94784176e+01  -1.48603460e-17   3.68711987e+01 
96           1.00000000e-02   9.50000000e-01   2.48640597e-04   6.08237419e-16   3.94784176e+01  -2.79791923e-17   3.68711987e+01 
97           1.00000000e-02   9.60000000e-01   2.50512741e-04   6.07803738e-16   3.94784176e+01  -3.05067386e-17   3.68711987e+01 
98           1.00000000e-02   9.70000000e-01   2.52406350e-04   6.14308951e-16   3.94784176e+01  -7.88079454e-18   3.68711987e+01 
99           1.00000000e-02   9.80000000e-01   2.54294735e-04   6.13224749e-16   3.94784176e+01  -1.38574590e-17   3.68711987e+01 
100          1.00000000e-02   9.90000000e-01   2.56229325e-04   6.29270941e-16   3.94784176e+01  -2.56346051e-17   3.68711987e+01 
101          1.00000000e-02   1.00000000e+00   2.58132494e-04   6.37077197e-16   3.94784176e+01  -3.01408204e-17   3.68711987e+01 
102          1.00000000e-02   1.01000000e+00   2.60108900e-04   6.40329803e-16   3.94784176e+01   1.56531689e-18   3.68711987e+01 
103          1.00000000e-02   1.02000000e+00   2.62043004e-04   6.42064527e-16   3.94784176e+01   1.13502415e-17   3.68711987e+01 
104          1.00000000e-02   1.03000000e+00   2.64044441e-04   6.47051857e-16   3.94784176e+01  -1.16755021e-17   3.68711987e+01 
105          1.00000000e-02   1.04000000e+00   2.66020902e-04   6.55074953e-16   3.94784176e+01  -4.40389370e-17   3.68711987e+01 
106          1.00000000e-02   1.05000000e+00   2.68035299e-04   6.62230687e-16   3.94784176e+01  -3.33798744e-17   3.68711987e+01 
107          1.00000000e-02   1.06000000e+00   2.70054978e-04   6.64182251e-16   3.94784176e+01  -8.19927893e-18   3.68711987e+01 
108          1.00000000e-02   1.07000000e+00   2.72080813e-04   6.60062283e-16   3.94784176e+01  -2.35475159e-17   3.68711987e+01 
109          1.00000000e-02   1.08000000e+00   2.74144592e-04   6.71554826e-16   3.94784176e+01  -2.54584223e-17   3.68711987e+01 
110          1.00000000e-02   1.09000000e+00   2.76180303e-04   6.74590592e-16   3.94784176e+01  -1.37625913e-17   3.68711987e+01 
111          1.00000000e-02   1.10000000e+00   2.78289088e-04   6.74590592e-16   3.94784176e+01  -3.68764264e-17   3.68711987e+01 
112          1.00000000e-02   1.11000000e+00   2.80353115e-04   6.80445283e-16   3.94784176e+01  -6.32903018e-18   3.68711987e+01 
113          1.00000000e-02   1.12000000e+00   2.82487797e-04   6.83697890e-16   3.94784176e+01  -4.05627138e-17   3.68711987e+01 
114          1.00000000e-02   1.13000000e+00   2.84597348e-04   6.83264209e-16   3.94784176e+01  -1.13908991e-17   3.68711987e+01 
115          1.00000000e-02   1.14000000e+00   2.86740034e-04   6.88034699e-16   3.94784176e+01   2.94767466e-18   3.68711987e+01 
116          1.00000000e-02   1.15000000e+00   2.88896044e-04   6.96057795e-16   3.94784176e+01  -9.02598309e-18   3.68711987e+01 
117          1.00000000e-02   1.16000000e+00   2.91045098e-04   6.99093561e-16   3.94784176e+01  -1.80994000e-17   3.68711987e+01 
118          1.00000000e-02   1.17000000e+00   2.93248530e-04   6.96708316e-16   3.94784176e+01  -9.89334482e-18   3.68711987e+01 
119          1.00000000e-02   1.18000000e+00   2.95404706e-04   7.03864050e-16   3.94784176e+01  -3.11775887e-17   3.68711987e+01 
