shear_layer_ROM 200 200 1.000e+100
residual and conservation information
n            dt               t                res              maxdiv           umom             vmom             k
85           1.00000000e-02   8.40000000e-01   2.29026753e-04   3.44776291e-17   3.94784176e+01  -1.51381728e-17   3.68711987e+01 
86           1.00000000e-02   8.50000000e-01   2.30720911e-04   3.86873828e-17   3.94784176e+01  -7.06086665e-18   3.68711987e+01 
87           1.00000000e-02   8.60000000e-01   2.32461184e-04   3.79470760e-17   3.94784176e+01  -3.84010857e-17   3.68711987e+01 
88           1.00000000e-02   8.70000000e-01   2.34177472e-04   3.38813179e-17   3.94784176e+01  -1.08081404e-17   3.68711987e+01 
89           1.00000000e-02   8.80000000e-01   2.35955020e-04   3.75133952e-17   3.94784176e+01  -6.16639986e-19   3.68711987e+01 
90           1.00000000e-02   8.90000000e-01   2.37692682e-04   3.49655201e-17   3.94784176e+01  -2.94767466e-17   3.68711987e+01 
91           1.00000000e-02   9.00000000e-01   2.39507686e-04   3.64291930e-17   3.94784176e+01  -1.26580604e-17   3.68711987e+01 
92           1.00000000e-02   9.10000000e-01   2.41283173e-04   3.92481186e-17   3.94784176e+01   5.13640779e-18   3.68711987e+01 
93           1.00000000e-02   9.20000000e-01   2.43118597e-04   3.67544536e-17   3.94784176e+01  -2.31206113e-17   3.68711987e+01 
94           1.00000000e-02   9.30000000e-01   2.44932673e-04   4.00070602e-17   3.94784176e+01  -2.97274683e-17   3.68711987e+01 
95           1.00000000e-02   9.40000000e-01   2.46787153e-04   3.90312782e-17   3.94784176e+01  -1.99560962e-17   3.68711987e+01 
96           1.00000000e-02   9.50000000e-01   2.48640597e-04   3.59955121e-17   3.94784176e+01  -2.41099458e-17   3.68711987e+01 
97           1.00000000e-02   9.60000000e-01   2.50512741e-04   3.57786717e-17   3.94784176e+01  -8.92433913e-18   3.68711987e+01 
98           1.00000000e-02   9.70000000e-01   2.52406350e-04   3.55618313e-17   3.94784176e+01  -1.59919820e-18   3.68711987e+01 
