actuator_ROM 240 80 5.000e+02
residual and conservation information
n            dt               t                res              maxdiv           umom             vmom             k
66           2.50000000e-02   1.62500000e+00   1.30601495e-03   3.63614304e-17   4.75691482e+01  -2.02307467e-17   2.38547343e+01 
67           2.50000000e-02   1.65000000e+00   1.31244355e-03   3.29597460e-17   4.75686382e+01  -2.06286404e-17   2.38540407e+01 
68           2.50000000e-02   1.67500000e+00   1.31384475e-03   3.18721557e-17   4.75679205e+01   6.08169656e-18   2.38531280e+01 
69           2.50000000e-02   1.70000000e+00   1.31850879e-03   3.03305558e-17   4.75669631e+01  -1.33718974e-17   2.38519621e+01 
70           2.50000000e-02   1.72500000e+00   1.31882021e-03   3.17713588e-17   4.75657357e+01   1.78143734e-17   2.38505105e+01 
71           2.50000000e-02   1.75000000e+00   1.32172751e-03   3.05745013e-17   4.75642096e+01   6.22135112e-18   2.38487429e+01 
72           2.50000000e-02   1.77500000e+00   1.32938581e-03   3.07913417e-17   4.75623578e+01  -3.10123114e-17   2.38466313e+01 
73           2.50000000e-02   1.80000000e+00   1.32311394e-03   3.37186876e-17   4.75601555e+01  -6.53083578e-18   2.38441500e+01 
74           2.50000000e-02   1.82500000e+00   1.33940920e-03   3.03966243e-17   4.75575801e+01   3.46034135e-18   2.38412760e+01 
75           2.50000000e-02   1.85000000e+00   1.33183195e-03   3.28513258e-17   4.75546110e+01  -1.29468986e-18   2.38379895e+01 
76           2.50000000e-02   1.87500000e+00   1.34683272e-03   3.02085830e-17   4.75512303e+01   1.38883757e-17   2.38342731e+01 
77           2.50000000e-02   1.90000000e+00   1.34120504e-03   3.20923843e-17   4.75474228e+01  -6.58906930e-18   2.38301132e+01 
78           2.50000000e-02   1.92500000e+00   1.35186623e-03   3.12589039e-17   4.75431756e+01  -3.33222761e-18   2.38254988e+01 
79           2.50000000e-02   1.95000000e+00   1.35480533e-03   3.83807569e-17   4.75384786e+01  -2.22759077e-17   2.38204228e+01 
80           2.50000000e-02   1.97500000e+00   1.35470248e-03   3.37186876e-17   4.75333248e+01  -6.97319874e-18   2.38148809e+01 
81           2.50000000e-02   2.00000000e+00   1.36609230e-03   5.44269491e-17   4.75277096e+01   4.97896554e-18   2.38088724e+01 
82           2.50000000e-02   2.02500000e+00   1.35551792e-03   3.33934269e-17   4.75216315e+01  -8.82767150e-18   2.38023998e+01 
83           2.50000000e-02   2.05000000e+00   1.37521543e-03   5.36680075e-17   4.75150919e+01   4.45179341e-18   2.37954690e+01 
84           2.50000000e-02   2.07500000e+00   1.36311363e-03   5.07406617e-17   4.75080949e+01   1.14137690e-18   2.37880888e+01 
