LDC_unsteady 100 100 1.000e+02
residual and conservation information
n            dt               t                res              maxdiv           umom             vmom             k
67           2.50000000e-03   1.65000000e-01   1.37167399e-04   6.56592836e-16  -1.03066630e-15   2.64906505e-15   1.15491385e-02 
68           2.50000000e-03   1.67500000e-01   1.35171823e-04   6.66133815e-16  -9.49977944e-16   2.66776415e-15   1.16262221e-02 
69           2.50000000e-03   1.70000000e-01   1.33219470e-04   6.76975836e-16  -9.60420166e-16   2.68642937e-15   1.17025426e-02 
70           2.50000000e-03   1.72500000e-01   1.31309297e-04   6.86083135e-16  -1.02145397e-15   2.70191652e-15   1.17781172e-02 
71           2.50000000e-03   1.75000000e-01   1.29440271e-04   6.94756752e-16  -9.87199959e-16   2.71804064e-15   1.18529623e-02 
72           2.50000000e-03   1.77500000e-01   1.27611368e-04   7.06466136e-16  -9.62737648e-16   2.73931472e-15   1.19270939e-02 
73           2.50000000e-03   1.80000000e-01   1.25824502e-04   7.17741838e-16  -1.02995141e-15   2.74872017e-15   1.20005273e-02 
74           2.50000000e-03   1.82500000e-01   1.24077607e-04   7.25981775e-16  -1.03482354e-15   2.76354663e-15   1.20732775e-02 
75           2.50000000e-03   1.85000000e-01   1.22367482e-04   7.36390116e-16  -1.00807763e-15   2.78154778e-15   1.21453586e-02 
76           2.50000000e-03   1.87500000e-01   1.20693183e-04   7.44630052e-16  -1.10045843e-15   2.79349094e-15   1.22167844e-02 
77           2.50000000e-03   1.90000000e-01   1.19053788e-04   7.53737350e-16  -1.16480244e-15   2.80879175e-15   1.22875685e-02 
78           2.50000000e-03   1.92500000e-01   1.17448392e-04   7.64145691e-16  -1.15410611e-15   2.82451607e-15   1.23577235e-02 
79           2.50000000e-03   1.95000000e-01   1.15876112e-04   7.76722436e-16  -1.06407328e-15   2.83837691e-15   1.24272621e-02 
80           2.50000000e-03   1.97500000e-01   1.14336085e-04   7.86697096e-16  -1.19818570e-15   2.84614251e-15   1.24961963e-02 
81           2.50000000e-03   2.00000000e-01   1.12827469e-04   7.98406480e-16  -1.24942781e-15   2.86354734e-15   1.25645378e-02 
82           2.50000000e-03   2.02500000e-01   1.11349443e-04   8.08381140e-16  -1.02510977e-15   2.88044057e-15   1.26322979e-02 
83           2.50000000e-03   2.05000000e-01   1.09901206e-04   8.19656842e-16  -1.15196820e-15   2.89670699e-15   1.26994876e-02 
84           2.50000000e-03   2.07500000e-01   1.08481980e-04   8.30065183e-16  -1.23778957e-15   2.90690865e-15   1.27661175e-02 
85           2.50000000e-03   2.10000000e-01   1.07091006e-04   8.40039843e-16  -1.25954138e-15   2.92105410e-15   1.28321979e-02 
86           2.50000000e-03   2.12500000e-01   1.05727547e-04   8.50014503e-16  -1.06485933e-15   2.93415601e-15   1.28977388e-02 
87           2.50000000e-03   2.15000000e-01   1.04493660e-04   8.59555482e-16  -1.22222450e-15   2.95256712e-15   1.29627499e-02 
88           2.50000000e-03   2.17500000e-01   1.03379848e-04   8.68662781e-16  -1.04899610e-15   2.96334477e-15   1.30272405e-02 
89           2.50000000e-03   2.20000000e-01   1.02285045e-04   8.77770079e-16  -1.25901283e-15   2.97961457e-15   1.30912200e-02 
90           2.50000000e-03   2.22500000e-01   1.01206360e-04   8.86877377e-16  -1.28939760e-15   2.99065988e-15   1.31546970e-02 
91           2.50000000e-03   2.25000000e-01   1.00143559e-04   8.96852037e-16  -1.24040182e-15   3.00373130e-15   1.32176803e-02 
92           2.50000000e-03   2.27500000e-01   9.90964032e-05   9.07694059e-16  -1.43884131e-15   3.02022133e-15   1.32801783e-02 
93           2.50000000e-03   2.30000000e-01   9.80646535e-05   9.17235038e-16  -1.40051816e-15   3.02927781e-15   1.33421990e-02 
94           2.50000000e-03   2.32500000e-01   9.70480683e-05   9.26776017e-16  -1.21461137e-15   3.04340971e-15   1.34037504e-02 
